coffee_name,total_score,roaster_location,coffee_origin,roast_level,est._price,agtron_ground,agtron_roast,price_per_ounce,origin_country
Geisha Champagne,94.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$82.00/4 ounces,58.0,77.0,82.0,
JN Farms Double Anaerobic Red Bourbon,94.0,"Kihei, Maui, Hawai’i","Ka‘ū growing region, Big Island of Hawai’i",Light,$32.00/8 ounces,64.0,82.0,32.0,
Ka‘ū Classic Peaberry,94.0,"Pahala, “Big Island” of Hawai’i","Ka‘ū growing district, ""Big Island"" of Hawai’i",Medium Light,$30.00/7 ounces,58.0,74.0,30.0,
100% Kona Typica,94.0,"Holualoa, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium Light,$27.95/7 ounces,58.0,80.0,27.95,
Colombia 510 Elegante Natural Geisha,95.0,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Light,$10.00/4 ounces (sold only as a two-pack),62.0,82.0,10.0,Colombia
Colombia Turron,94.0,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Medium Light,$10.00/4 ounces (sold only as a two-pack),58.0,78.0,10.0,Colombia
Black Geisha Blend Lab 18 Espresso,94.0,"Taichung, Taiwan",Guatemala; Colombia; Ethiopia,Medium,$40.00/8 ounces,43.0,61.0,40.0,Ethiopia
Ethiopia Layo Teraga,95.0,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Light,$23.00/12 ounces,62.0,80.0,23.0,Ethiopia
Ethiopia Reko Yirgacheffe,94.0,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium Light,$24.50/12 ounces,58.0,76.0,24.5,Ethiopia
Colombia Huila El Diviso Nestor Lasso Geisha Washed,95.0,"Taipei, Taiwan","Bruselas, Pitalito, Huila Department, Colombia",Light,NT$780/227 grams,66.0,84.0,27.513227513227513,Colombia
Ethiopia Bensa Bombe,94.0,"Taipei, Taiwan","Bombe Village, Bensa District, Sidamo growing region, Ethiopia",Light,NT$200/8 ounces,64.0,86.0,200.0,Ethiopia
Colombia  Nariño Villa Maria La Chorrera Geisha Washed,94.0,"Taipei, Taiwan","Nariño Department, Colombia",Medium Light,NT$710/227 grams,60.0,76.0,25.044091710758376,Colombia
Kenya Kirinyaga County Gikirima Factory TOP PB,94.0,"Taipei, Taiwan","Embu County, Kenya",Medium Light,NT$240/227 grams,60.0,78.0,8.465608465608465,Kenya
Colombia Huila Finca Buena Vista Geisha Washed,94.0,"Taipei, Taiwan","El Jardin, Pitalito, Huila Department, Colombia",Medium Light,NT$650/227 grams,60.0,80.0,22.92768959435626,Colombia
Wilton Benitez Geisha,96.0,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,$27.00/8 ounces,62.0,80.0,27.0,Colombia
Ethiopia Natural Guji Blue Donkey 23/02,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT$325/8 ounces,62.0,78.0,325.0,Ethiopia
Ethiopia Natural Sidama Arbegona Bochessa,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT$325/8 ounces,64.0,86.0,325.0,Ethiopia
Peru Natural Villa Rica Espresso,94.0,"Chia-Yi, Taiwan","Oxapampa, Pasco, Peru",Medium Light,NT$250/8 ounces,58.0,78.0,250.0,Peru
Costa Rica TIM Washed Don Eli Catuai,94.0,"Chia-Yi, Taiwan","Tarrazu, Costa Rica",Medium Light,NT$270/4 ounces,58.0,74.0,270.0,Rica
Ethiopia Natural Sidama Twakok Pearl Selection,94.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT$300/8 ounces,62.0,80.0,300.0,Ethiopia
Kenya Washed Uklili AA,94.0,"Chia-Yi, Taiwan","Nakuru County, Kenya",Light,NT$325/8 ounces,64.0,86.0,325.0,Kenya
Peach-C Blend,94.0,"Zhubei, Taiwan",Ethiopia; Colombia,Light,NT$ 366/8 ounces,62.0,84.0,366.0,Colombia
Colombia Jaime Lopez,94.0,"San Diego, California","Santa Barbara, Antioquia, Colombia",Light,$40.00/12 ounces,62.0,82.0,40.0,Colombia
Cordillera de Fuego Costa Rica,94.0,"Madison, Wisconsin","Tarrazu, Costa Rica",Medium Light,$18.00/8 ounces,59.0,77.0,18.0,Rica
Nyeri Hill Kenya,94.0,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium Light,$22.00/12 ounces,56.0,74.0,22.0,Kenya
Ethiopia Guji 74110 Natural,94.0,"Taichung, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,NT$ 550/227 grams,64.0,86.0,19.400352733686066,Ethiopia
Good Tidings Sweet Holiday Blend,94.0,"Floyd, Virginia",Costa Rica; Ethiopia,Medium Light,$22.00/12 ounces,60.0,78.0,22.0,Ethiopia
Kona Mokka Champagne Natural,95.0,"Hilo, Hawaii","Kona growing region, Big Island of Hawai’i",Light,$100.00/4 ounces,64.0,86.0,100.0,
Ethiopia Banko Gotiti,94.0,"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,NT$ 400/200 grams,64.0,82.0,14.109347442680775,Ethiopia
O-Li-A Geisha Blend,94.0,"Taipei City, Taiwan",Panama; Colombia; Ethiopia,Light,NT$ 970/227 grams,64.0,86.0,34.21516754850088,Ethiopia
Colombia Huila El Triunfo Pink Bourbon Anaerobic Washed,94.0,"Taipei, Taiwan","Huila Department, Colombia",Medium Light,NT$ 539/8 ounces,52.0,78.0,539.0,Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural,94.0,"San Diego, California","Poás Volcano, Alajuela, Costa Rica",Light,$59.00/8 ounces,64.0,80.0,59.0,Rica
Chang-E The Moon Goddess Espresso,94.0,"Taoyuan, Taiwan",Colombia; Costa Rica; Kenya; Ethiopia,Medium,NT$ 650/8 ounces,46.0,70.0,650.0,Ethiopia
GW03 Princesa Carmen Geisha,98.0,"Yilan, Taiwan","Paso Ancho, Panama",Medium Light,"NT$ 2,500/20 grams",58.0,74.0,,Panama
El Salvador Finca Loma La Gloria Yellow Honey,94.0,"Sacramento, California","El Bálsamo Quetzaltepec growing region, El Salvador",Medium Light,$20.00/12 ounces,58.0,78.0,20.0,Salvador
Costa Rica La Laguna Lot — Reserve Series,94.0,"Sacramento, California","Tarrazu, Costa Rica",Medium Light,$23.00/12 ounces,60.0,78.0,23.0,Rica
Rwanda Silverback Plus Espresso,95.0,"Taoyuan, Taiwan","Kageyo, Eastern Province, Rwanda",Light,NT$ 800/8 ounces,48.0,689.0,800.0,Rwanda
Colombia El Paraiso Geisha Luna Washed,95.0,"Osaka, Japan","Piendamo, Cauca Department, Colombia",Light,$27.00/100 grams,70.0,85.0,0.9523809523809523,Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural,95.0,"Topeka, Kansas","Poás Volcano, Alajuela, Costa Rica",Light,$26.00/8 ounces,66.0,82.0,26.0,Rica
Kona Pointu®,97.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$69.95/8 ounces,52.0,72.0,69.95,
Colombia Calderon Honey,96.0,"Billings, Montana","Huila Department, Colombia",Medium Light,$32.25/12 ounces,60.0,78.0,32.25,Colombia
Karen J Kona Red Bourbon,95.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$54.95/8 ounces,58.0,78.0,54.95,
Wilton Benitez Colombia Sidra,96.0,"Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",Light,$60.00/250 grams,65.0,83.0,2.1164021164021163,Colombia
Peru Gilmer Cordova #13,95.0,"Lexington, Virginia","Cajamarca, Peru",Light,$29.00/12 ounces,64.0,88.0,29.0,Peru
Ethiopia Kayon Mountain,95.0,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,$24.00/12 ounces,64.0,84.0,24.0,Ethiopia
Kenya Gichathaini,95.0,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Light,$26.00/12 ounces,62.0,80.0,26.0,Kenya
Colombia Honey Sweet Rose,95.0,"Taichung, Taiwan","Huila Department, Colombia",Light,NT$ 520/8 ounces,62.0,80.0,520.0,Colombia
Colombia Santa Monica Castillo Honey Lulo,94.0,"Floyd, Virginia","Quindio Department, Colombia",Light,$33.00/8 ounces,74.0,90.0,33.0,Colombia
Colombia Las Flores Red Bourbon Natural,94.0,"Livingston, Montana","Acevedo, Huila Department, Colombia",Medium Light,$29.95/12 ounces,60.0,78.0,29.95,Colombia
African Dance Espresso Blend,94.0,"Hsinchu, Taiwan",Kenya; Ethiopia; Guatemala,Medium Light,$17.00/6 ounces,60.0,78.0,17.0,Guatemala
Sweetheart Blend Espresso,94.0,"Hsinchu, Taiwan",Ethiopia; Guatemala,Medium Light,$15.00/8 ounces,58.0,78.0,15.0,Guatemala
Kenya AA Kiri,95.0,"Crystal Lake, Illinois","Kirinyaga County, south-central Kenya",Light,$26.00/12 ounces,64.0,80.0,26.0,Kenya
Guatemala Gesha,95.0,"Taoyuan, Taiwan","Aqua Dulce, Cuilco, Huehuetenango, Guatemala",Medium Light,NT $750/4 ounces,60.0,77.0,750.0,Guatemala
Gesha Village Ethiopia Gori Gesha,94.0,"Taoyuan, Taiwan","Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",Light,NT $450/8 ounces,62.0,80.0,450.0,Ethiopia
Kenya Machakos AA Top Washed,96.0,"Taipei, Taiwan","Machakos County, Kenya",Light,NT $409/8 ounces,62.0,82.0,409.0,Kenya
Indonesia Sumatra Raja Harimau Lintong Mandheling Espresso,95.0,"Chia-Yi, Taiwan","Lintong growing region, North Sumatra, Indonesia",Medium Light,NT $260/8 ounces,58.0,77.0,260.0,Indonesia
Ethiopia Washed Guji Bishala 23/02,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $350/8 ounces,60.0,80.0,350.0,Ethiopia
Guatemala Washed Huehuetenango Joya Verde Espresso,94.0,"Chia-Yi, Taiwan","Huehuetenango, Guatemala",Medium Light,NT $220/8 ounces,58.0,79.0,220.0,Guatemala
Ethiopia Red Honey Guji Uraga Tabe Haro Wachu,94.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium Light,NT $340/8 ounces,58.0,78.0,340.0,Ethiopia
Ethiopia Natural Sidama Bare Tamiru,94.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $390/8 ounces,64.0,78.0,390.0,Ethiopia
Colombia Wilton Benitez Thermal Shock Geisha,96.0,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",Medium Light,$58.00/8 ounces,60.0,78.0,58.0,Colombia
Colombia Wilton Benitez Thermal Shock Red Bourbon,95.0,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",Medium Light,$38.00/8 ounces,60.0,78.0,38.0,Colombia
Colombia Tolima Genius,94.0,"Chicago, Illinois","Huila Department, Colombia",Light,$35.00/8 ounces,61.0,83.0,35.0,Colombia
Colombia Wilton Benitez Thermal Shock Caturra,94.0,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",Medium Light,$35.00/8 ounces,60.0,77.0,35.0,Colombia
Ethiopia Natural Yirgacheffe Koke Shalaye Abraham Mengiste,94.0,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium Light,NT $400/8 ounces,60.0,76.0,400.0,Ethiopia
Kenya AA TOP Gicherori,97.0,"Yilan, Taiwan","Embu County, Kenya",Medium Light,NT $550/200 grams,60.0,78.0,19.400352733686066,Kenya
Panama Carmen Geisha Washed Light Roast,95.0,"Yilan, Taiwan","Paso Ancho, Panama",Light,"NT $12,500/100 grams",62.0,82.0,,Panama
Colombia Luna Azul,94.0,"Lexington, Virginia","Santa Bárbara, Antioquia, Colombia",Medium Light,$28.00/12 ounces,60.0,76.0,28.0,Colombia
Mexico Los Aguacates,95.0,"Manlius, New York","Tenejapa, Chiapas, Mexico",Light,$42.00/12 ounces,65.0,82.0,42.0,Mexico
Ethiopia Arbegona Natural 74158,95.0,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Light,NT $500/8 ounces,64.0,80.0,500.0,Ethiopia
Guatemala Nueva Granda Washed Laurina,94.0,"Taipei, Taiwan","San Marcos, Guatemala",Light,"NT $1,000/8 ounces",64.0,80.0,,Guatemala
Ethiopia Shantawene Washed,96.0,"Floyd, Virginia","Sidamo growing region, south-central Ethiopia",Light,$22.00/12 ounces,64.0,82.0,22.0,Ethiopia
Kona Mocca®,95.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$112.95/8 ounces,58.0,74.0,112.95,
Ethiopia Worka Sakaro Anaerobic Natural,96.0,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Medium Light,$23.00/12 ounces,60.0,78.0,23.0,Ethiopia
Colombia Finca Chambaku,94.0,"Floyd, Virginia","Manizales, Caldas, Colombia",Light,$24.00/12 ounces,62.0,80.0,24.0,Colombia
Colombia La Siria Gesha,95.0,"San Diego, California","La Argentina, Huila Department, Colombia",Medium Light,$53.00/8 ounces,60.0,80.0,53.0,Colombia
Ka‘ū Yellow Caturra Peaberry,94.0,"Hilo, Hawaii","Ka‘ū, Big Island of Hawaii",Medium Light,$25.00/4 ounces,60.0,77.0,25.0,Hawaii
Ethiopia Guji Hambela Tirtira Goyo Natural,94.0,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $250/8 ounces,68.0,84.0,250.0,Ethiopia
El Salvador Unicorn,94.0,"Truckee, California","El Bálsamo Quetzaltepec, El Salvador",Medium Light,$24.00/12 ounces,56.0,78.0,24.0,Salvador
Ethiopia Guji Euphora Special Honey Lot,94.0,"Taipei, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Medium Light,$12.00/8 ounces,58.0,72.0,12.0,Ethiopia
Ichamama Kenya,95.0,"Madison, Wisconsin","Nyeri County, Central Province, Kenya",Medium Light,$22.00/12 ounces,59.0,75.0,22.0,Kenya
La Candelilla Geisha Natural Costa Rica,95.0,"Madison, Wisconsin","Tarrazú, Costa Rica",Medium Light,$19.00/8 ounces,59.0,77.0,19.0,Rica
El Lechero Peru,94.0,"Madison, Wisconsin","El Carmen Cautivo, Tabaconas, Cajamarca, Peru",Medium Light,$19.00/12 ounces,59.0,77.0,19.0,Peru
Colombia El Roble Natural Carbonic Java,95.0,"Denver, Colorado","Quindio Department, Colombia",Light,$31.00/8 ounces,63.0,81.0,31.0,Colombia
Colombia Nestor Lasso Sidra,95.0,"San Jose, California","Bruselas, Pitalito, Huila Department, Colombia",Light,$32.99/8 ounces,62.0,83.0,32.99,Colombia
Colombia Yeast Anaerobic Washed Las Flores Bourbon Sidra,95.0,"Chia-Yi, Taiwan","Huila Department, Colombia",Light,NT $550/8 ounces,62.0,81.0,550.0,Colombia
Ecuador Cruz Loma Sidra Anaerobic Euphora Special Lot,95.0,"Taipei, Taiwan","San José de Minas, Pichincha Province, Ecuador",Light,$16.00/4 ounces,64.0,80.0,16.0,Ecuador
Colombia El Roble Chiroso Washed,94.0,"Yilan, Taiwan","Quindio Department, Colombia",Medium Light,NT $650/200 grams,58.0,78.0,22.92768959435626,Colombia
Guatemala El Injerto SL28,94.0,"San Rafael, California","La Libertad, Huehuetenango Department, Guatemala",Medium Light,$18.00/6 ounces,62.0,79.0,18.0,Guatemala
Wilton Benitez Java,96.0,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Medium Light,$25.00/8 ounces,60.0,74.0,25.0,Colombia
HWC Holy Melody Espresso Blend,94.0,"Taichung, Taiwan",Kenya; Ethiopia,Medium Light,$40.00/8 ounces,57.0,77.0,40.0,Ethiopia
Panama Bambito Estate Geisha Anaerobic Natural,96.0,"San Diego, California","Volcan Baru, Boquete growing region, Panama",Light,$45.00/4 ounces,65.0,90.0,45.0,Panama
Ethiopia Natural Sidama 74158,96.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $450/4 ounces,62.0,80.0,450.0,Ethiopia
Mr. Dodd’s TeaTime Blend,95.0,"Chia-Yi, Taiwan",Ethiopia; Guatemala,Medium Light,NT $325/8 ounces,56.0,72.0,325.0,Guatemala
Colombia Double Anaerobic Washed Los Nogales Yellow Bourbon,95.0,"Chia-Yi, Taiwan","Huila Department, Colombia",Light,NT $290/4 ounces,64.0,80.0,290.0,Colombia
Colombia El Chaferote Pink Bourbon,95.0,"San Diego, California","Huila Department, Colombia",Medium Light,$28.00/10 ounces,63.0,77.0,28.0,Colombia
Guatemala El Injerto Ethiopia Landrace Natural,94.0,"San Rafael, California","La Libertad, Huehuetenango Department, Guatemala",Medium Light,$20.00/6 ounces,57.0,74.0,20.0,Guatemala
Holiday Coffee,95.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$69.95/8 ounces,58.0,66.0,69.95,
Kenya Muthua-Ini AB,95.0,"San Diego, California","Nyeri growing region, south-central Kenya",Medium Light,$22.00/12 ounces,58.0,77.0,22.0,Kenya
Kenya Gichuka AA,95.0,"Lee, Massachusetts","Kiambu County, Kenya",Medium Light,$20.95/12 ounces,60.0,78.0,20.95,Kenya
Colombia Chili Bourbon,94.0,"Lee, Massachusetts","Circasia, Quindio, Colombia",Light,$33.45/12 ounces,62.0,80.0,33.45,Colombia
Chelbessa Ethiopia,95.0,"Madison, Wisconsin","Chelbessa, Gedeb, Yirgacheffe, south-central Ethiopia",Medium Light,$21.00/12 ounces,60.0,76.0,21.0,Ethiopia
Ethiopia Yirgacheffe Gedeb Chelbesa Natural,95.0,"Taipei, Taiwan","Chelchele, Gedeb District, Gedeo Zone, Ethiopia",Medium Light,NT $480/8 ounces,59.0,76.0,480.0,Ethiopia
Tirra Natural Costa Rica,94.0,"Madison, Wisconsin","Tarrazú, Costa Rica",Medium Light,$22.00/12 ounces,59.0,77.0,22.0,Rica
Colombia Huila Espiritu Blanc Geisha Semi-Washed Anaerobic,94.0,"Taipei, Taiwan","Huila, Colombia",Medium Light,NT $480/100 grams,63.0,71.0,16.93121693121693,Colombia
Costa Rica San Ramon Yeast Washed,94.0,"Zhubei, Taiwan","Tarrazu, Costa Rica",Light,NT $330/8 ounces,63.0,79.0,330.0,Rica
Hawai’i Island Blend Espresso,94.0,"Hilo, Hawaii","Ka‘ū and Kona growing regions, Big Island of Hawai’i",Medium Light,$20.00/4 ounces,52.0,70.0,20.0,
Kenya Washed Kiambu Windrush AA,96.0,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium Light,NT $340/8 ounces,57.0,77.0,340.0,Kenya
Guatemala El Amate Maragogype,94.0,"Chicago, Illinois","El Aguacatal, Hoja Blanca, Cuilco, Huehuetenango, Guatemala",Medium Light,$27.00/12 ounces,60.0,76.0,27.0,Guatemala
Ethiopia Natural Guji Blue Donkey 23,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $325/8 ounces,58.0,76.0,325.0,Ethiopia
Ethiopia Natural Yirgacheffe Worka Nenke Abraham Mengiste,94.0,"Chia-Yi, Taiwan","Gedeo Zone, SNNPR, southern Ethiopia",Medium Light,NT $290/8 ounces,60.0,78.0,290.0,Ethiopia
Ethiopia Koke,95.0,"Lexington, Virginia","Yirgacheffe growing region, south-central Ethiopia",Light,$23.00/12 ounces,62.0,80.0,23.0,Ethiopia
Panama Florsa 100 Geisha FW 1600+,95.0,"Taichung, Taiwan","Boquete growing region, Panama",Light,NT $450/227 grams,65.0,81.0,15.873015873015872,Panama
Ethiopia Bench Maji Gesha Winey Natural G1,94.0,"Taichung, Taiwan","Bench-Maji Zone, Southern Ethiopia",Medium Light,NT $310/227 grams,60.0,77.0,10.934744268077601,Ethiopia
Wilton Benitez Sidra,94.0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium Light,$22.00/8 ounces,58.0,74.0,22.0,Colombia
Panama Hacienda La Esmeralda Geisha Natural,95.0,"Taipei, Taiwan","Boquete growing region, western Panama",Medium Light,$22.00/4 ounces,60.0,77.0,22.0,Panama
Panama Hacienda La Esmeralda Geisha Washed,95.0,"Taipei, Taiwan","Boquete growing region, western Panama",Light,$20.00/4 ounces,64.0,78.0,20.0,Panama
Grand Champion Red Bourbon Natural,96.0,"Pahala, Hawaii","Ka'u growing district, Big Island of Hawai’i",Medium Light,$35.00/4 ounces,52.0,72.0,35.0,
Sumatra Lintong Kardon,95.0,"Portland, Maine","Lintong growing region, North Sumatra Province, Indonesia",Medium Light,$21.00/12 ounces,56.0,74.0,21.0,Indonesia
Panama Finca Don Julian Geisha Washed,94.0,"Yilan, Taiwan","Boquete, Panama",Light,"NT $1,200/100 grams",65.0,81.0,,Panama
Colombia Finca La Roca,94.0,"San Diego, California","Planadas, Tolima Department, Colombia",Medium Light,$26.00/12 ounces,60.0,77.0,26.0,Colombia
Ethiopia YirgZ,95.0,"Chicago, Illinois","Yirgacheffe growing region, southern Ethiopia",Medium Light,$27.00/12 ounces,62.0,78.0,27.0,Ethiopia
Colombia Patio Bonita,94.0,"Chicago, Illinois","Caldono, Calda Department, Colombia",Light,$27.00/12 ounces,64.0,80.0,27.0,Colombia
Ethiopia Yirgacheffe Farmgate,94.0,"Chicago, Illinois","Yirgacheffe growing region, southern Ethiopia",Medium Light,$27.00/12 ounces,59.0,75.0,27.0,Ethiopia
Promise of Spring,94.0,"Taitung, Taiwan",Costa Rica; Ethiopia,Medium Light,NT $450/200 grams,59.0,76.0,15.873015873015872,Ethiopia
Ethiopia Gesha Rebecca Natural,94.0,"Yilan, Taiwan","Bench-Maji Zone, Southern Ethiopia",Medium Light,NT $500/200 grams,61.0,74.0,17.636684303350968,Ethiopia
Colombia Finca El Paraíso Geisha Sake,96.0,"Hilo, Hawaii","Cauca, Colombia",Light,$60.00/4 ounces,65.0,82.0,60.0,Colombia
Tanzania Nyasi Furaha,94.0,"Lexington, Virginia","Mbeya, Ruvuma Region, Tanzania",Medium Light,$19.00/12 ounces,62.0,74.0,19.0,Tanzania
Kenya Gachatha AA Top,95.0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $330/8 ounces,58.0,74.0,330.0,Kenya
Kenya Nyeri Gatuya Factory AA Top,94.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,Nt $325/8 ounces,57.0,76.0,,Kenya
Costa Rica Tarrazu Double Anaerobic Washed,94.0,"Taipei, Taiwan","Tarrazu growing region, Costa Rica",Medium Light,NT $450/8 ounces,60.0,77.0,450.0,Rica
Wilton Benitez Pink Bourbon Colombia,98.0,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Medium Light,$20.00/8 ounces,62.0,78.0,20.0,Colombia
Costa Rica Las Lajas SL28 Natural,95.0,"Charlotte, North Carolina","Sabanilla de Alajuela, Central Valley, Costa Rica",Light,$30.00/12 ounces,62.0,80.0,30.0,Rica
Nano Genji #12 Ethiopia,95.0,"Madison, Wisconsin","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium Light,$23.00/12 ounces,58.0,74.0,23.0,Ethiopia
Gesha Spirits,95.0,"San Diego, California","Huila Department, Colombia",Light,$48.00/10 ounces,62.0,80.0,48.0,Colombia
Panama HWC Coffee Estate Washed,94.0,"Taichung, Taiwan",Panama,Medium Light,$80.00/8 ounces,59.0,73.0,80.0,Panama
Colombia Fruit Maceration Series Lulo Bear,94.0,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",Light,$30.00/250 grams,64.0,80.0,1.0582010582010581,Colombia
Colombia Huila Charlotte Geisha Washed,94.0,"Taipei, Taiwan","Huila Department, Colombia",Light,NT $450/8 ounces,65.0,79.0,450.0,Colombia
Colombia Wilton Benitez Double Anaerobic Thermal Shock Yellow Gesha,94.0,"Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",Light,$60.00/250 grams,62.0,80.0,2.1164021164021163,Colombia
More Floral,94.0,"Taoyuan, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $300/8 ounces,66.0,80.0,300.0,Ethiopia
Yemen Al Kawlah Special Reserve Natural,95.0,"Livingston, Montana","Hayma Kharijiya growing region, Yemen",Medium Light,$39.95/12 ounces,60.0,77.0,39.95,Yemen
Kona K7,95.0,"Hilo, Big Island of Hawai'i","Holualoa, Kona, Big Island of Hawai’i",Light,$35.00/4 ounces,63.0,79.0,35.0,
Ecuador La Josefina Estate,94.0,"Charlotte, North Carolina","El Chaco Canton, Parroquia Santa Rosa, Napo Province, Ecuador",Light,$25.00/12 ounces,62.0,84.0,25.0,Ecuador
Ethiopia Kafa Natural,94.0,"San Diego, California","Bonga Forest, Keficho-Shekicho Zone, southwest Ethiopia",Light,$23.00/12 ounces,65.0,79.0,23.0,Ethiopia
El Salvador Bourbon Semi-Washed,94.0,"Livingston, Montana","Cordillera de Llamatepec, El Salvador",Medium Light,$17.50/12 ounces,58.0,72.0,17.5,Salvador
Ethiopia Worka Sakaro Anaerobic Natural,94.0,"Richmond, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Medium Light,$22.00/12 ounces,62.0,78.0,22.0,Ethiopia
Bale Mountain Natural Ethiopia,94.0,"Madison, Wisconsin","Werka, Guji Zone, Oromia Region, southern Ethiopia",Light,$23.00/12 ounces,64.0,80.0,23.0,Ethiopia
Ethiopia Sidama Arbegona 74158 Washed,94.0,"Taichung, Taiwan","Sidamo growing region, south-central Ethiopia",Light,NT $240/227 grams,66.0,80.0,8.465608465608465,Ethiopia
La Papaya Ecuador Geisha Natural,96.0,"Madison, Wisconsin","Saraguro, Loja growing region, Ecuador",Medium Light,$29.00/12 ounces,59.0,75.0,29.0,Ecuador
Colombia Tolima Finca El Vergel Rebel Geisha,95.0,"Taitung, Taiwan","Tolima, Colombia",Light,NT $550/200 grams,63.0,81.0,19.400352733686066,Colombia
Colombia Buenos Aires Honey Process-Yellow Velvet Peach,95.0,"Changhua, Taiwan","Quindio Department, Pijao Village, Colombia",Medium Light,NT $520/200 grams,60.0,77.0,18.34215167548501,Colombia
Encounter of Summer,94.0,"Taitung, Taiwan",Costa Rica; Ethiopia,Light,NT $450/200 grams,62.0,80.0,15.873015873015872,Ethiopia
Kenya,95.0,"Taipei, Taiwan","Embu County, Kenya",Medium Dark,NT $680/225 grams,35.0,51.0,23.98589065255732,Kenya
SL34 Dark Roast,94.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Dark,$69.95/8 ounces,48.0,52.0,69.95,
Ethiopia Bench Maji Geisha Lucy Station Dark Roast,94.0,"Yilan, Taiwan","Bench Maji Zone, Southern Ethiopia",Medium Dark,NT $600/200 grams,45.0,52.0,21.164021164021165,Ethiopia
Kenya AB Athena Plus,94.0,"Taiyuan, Taiwan","Nyeri growing region, south-central Kenya",Dark,NT $800/8 ounces,33.0,44.0,800.0,Kenya
Kenya Muranga,94.0,"Hsinchu, Taiwan","Embu County, Kenya",Medium Dark,"NT $1,300/240 grams",41.0,44.0,,Kenya
Costa Rica Turrialba Volcano Honey Process,94.0,"Taipei, Taiwan","Turrialba, Costa Rica",Medium Light,NT $325/8 ounces,59.0,77.0,325.0,Rica
Colombia Huila Finca El Triunfo Martha Zuñiga Pink Bourbon,94.0,"Bozeman, Montana","Tolimas, Colombia",Medium Light,$32.00/12 ounces,58.0,74.0,32.0,Colombia
Kenya Kanwangi AA,94.0,"San Diego, California","Kirinyaga County, south-central Kenya",Medium Light,$24.00/12 ounces,59.0,80.0,24.0,Kenya
